transaction_id,member_id,partner_id,points_earned,points_redeemed,transaction_date,partner_name
TXN001,MEM001,PART01,150,0,2026-07-01,Café Central
TXN002,MEM002,PART02,0,500,2026-07-01,Gasolinera Express
TXN003,MEM003,PART03,300,0,2026-07-01,Tienda Moda
TXN004,MEM004,PART04,220,0,2026-07-02,Restaurante Sabores
TXN005,MEM005,PART01,180,0,2026-07-02,Café Central
TXN006,MEM001,PART02,400,0,2026-07-02,Gasolinera Express
TXN007,MEM002,PART03,0,250,2026-07-03,Tienda Moda
TXN008,MEM003,PART04,90,0,2026-07-03,Restaurante Sabores
TXN009,MEM004,PART01,600,0,2026-07-03,Café Central
TXN010,MEM005,PART02,120,0,2026-07-04,Gasolinera Express
TXN011,MEM001,PART03,350,0,2026-07-04,Tienda Moda
TXN012,MEM002,PART04,80,0,2026-07-04,Restaurante Sabores
TXN013,MEM003,PART01,275,0,2026-07-05,Café Central
TXN014,MEM004,PART02,0,300,2026-07-05,Gasolinera Express
TXN015,MEM005,PART03,410,0,2026-07-05,Tienda Moda
TXN016,MEMXXX,PART01,100,0,2026-07-05,Café Central
TXN017,MEM99,PART02,200,0,2026-07-05,Gasolinera Express
TXN018,MEM001,PART04,-50,0,2026-07-06,Restaurante Sabores
TXN013,MEM002,PART01,130,0,2026-07-06,Café Central
TXN019,MEM003,PART02,9500,0,2026-07-06,Gasolinera Express
TXN020,MEM003,PART02,800,0,2026-07-06,Gasolinera Express
TXN021,MEM004,PART03,140,0,2027-01-15,Tienda Moda
TXN022,MEM005,PART04,160,0,2026-07-07,Restaurante Sabores
TXN023,MEM001,PART01,210,0,2026-07-07,Café Central
